playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
101108,"Chris Paul",0.91,73,0.38,130,0.53,101,1.12,29,0.61,44,0.52,82,-0.38,368,0.2,156,-0.58,436,-0.09,274,0.13,205,-0.22,319,0.4,103,0.26,112,0.14,169,2.16,29,1.34,35,0.82,107,"2020-21",1610612756,"PHX","101108_2020-21"
1628969,"Mikal Bridges",0.46,145,-0.43,380,0.88,60,1.12,30,0.48,67,0.64,60,-0.02,255,0.05,225,-0.07,286,0.11,228,-0.26,337,0.38,142,-0.25,353,-0.16,351,-0.09,304,1.58,57,0.45,135,1.13,71,"2020-21",1610612756,"PHX","1628969_2020-21"
101150,"Lou Williams",-0.57,376,-0.37,365,-0.2,297,0.49,118,0.39,84,0.1,182,-0.3,350,-0.37,381,0.07,221,-0.72,376,-0.89,454,0.17,193,-0.1,294,-0.14,339,0.03,221,0.94,110,0.13,206,0.81,108,"2020-21",1610612746,"LAC","101150_2020-21"
1626153,"Delon Wright",1.27,46,0.44,123,0.83,64,-0.65,410,-0.64,455,0.01,228,1.02,40,0.27,133,0.75,35,-0.21,296,-0.4,365,0.19,185,1.46,7,0.49,52,0.97,8,0.75,127,-0.32,340,1.07,78,"2020-21",1610612765,"DET","1626153_2020-21"
1626157,"Karl-Anthony Towns",0.23,184,-0.38,369,0.61,92,0.69,79,0.17,172,0.52,81,0.43,121,0.33,114,0.1,203,0.9,91,0.11,215,0.79,70,-0.05,268,-0.07,299,0.02,232,1.09,99,-0.02,258,1.11,74,"2020-21",1610612750,"MIN","1626157_2020-21"
1626158,"Richaun Holmes",1.76,33,-0.21,317,1.97,7,0.9,52,0.22,142,0.67,54,0.49,112,0.13,190,0.36,105,-0.16,286,-0.21,325,0.06,227,0.57,67,-0.19,363,0.76,22,1.93,42,0.01,252,1.92,23,"2020-21",1610612758,"SAC","1626158_2020-21"
1629634,"Brandon Clarke",1.38,44,0.92,47,0.46,117,-0.57,399,-0.38,402,-0.18,309,-0.27,341,-0.03,253,-0.25,351,-0.48,337,-0.13,288,-0.36,354,0.36,113,0.38,79,-0.02,258,-0.43,313,0.11,210,-0.54,349,"2020-21",1610612763,"MEM","1629634_2020-21"
1629014,"Anfernee Simons",-3.42,496,-2.21,496,-1.21,473,-1.08,474,-0.5,428,-0.59,436,-2.33,496,-1.87,496,-0.47,408,-2.43,492,-2.38,495,-0.05,260,-0.39,393,-0.72,473,0.33,87,-2.94,492,-2.37,493,-0.58,354,"2020-21",1610612757,"POR","1629014_2020-21"
1626161,"Willie Cauley-Stein",-0.35,316,-0.17,301,-0.18,288,0.99,44,0.74,26,0.25,144,-0.16,310,0.06,217,-0.23,346,-0.53,344,0.41,127,-0.94,442,0.47,82,-0.25,386,0.72,24,1.56,59,0.91,71,0.65,123,"2020-21",1610612742,"DAL","1626161_2020-21"
1628420,"Monte Morris",0.42,150,-0.26,336,0.68,86,1.06,36,0.15,182,0.91,32,0.15,199,-0.05,267,0.21,161,0.36,170,-0.24,332,0.61,89,0.17,172,-0.07,294,0.24,124,2.19,27,0.43,141,1.75,31,"2020-21",1610612743,"DEN","1628420_2020-21"
